feature,importance
activity_days,0.11556767532290614
driving_days,0.09414151395889253
n_days_after_onboarding,0.06676339497426573
activity_rate,0.05580783660819226
driving_rate,0.05489013587852343
sessions_per_activity_day,0.05273001513803809
fav_navigation_total,0.04478212261689371
duration_minutes_drives,0.04406419148625008
drives_per_driving_day,0.042378574254545366
total_navigations_fav1,0.042118381920655444
total_sessions,0.041789463694659704
activity_group_lowest_activity,0.040833217017626655
driven_km_drives,0.040758155680596195
km_per_drive,0.04037425092651034
minutes_per_drive,0.03887606382078152
activity_group_highest_activity,0.0382655991176831
sessions,0.03419649969762646
drives,0.03246805051754434
total_navigations_fav2,0.027311946908379774
tenure_group_newest_users,0.011669945400661175
activity_group_high_mid_activity,0.009961897949001795
activity_group_low_mid_activity,0.00810415398487257
tenure_group_longest_tenure,0.007033273086909755
device_Android,0.00482774051575022
device_iPhone,0.004334871512969357
tenure_group_early_mid_tenure,0.0029794008828622986
tenure_group_late_mid_tenure,0.002971627126402044
